id,username,created_at,lng,lat,text
1518378415157440512,LosNewTexpat,Sun Apr 24 23:56:38 +0000 2022,-118.40899,34.0060125,Just finishing todays Ranger game. Getting heavy Lucroy vibes from too-cool Garvsauce. Run out that infield hit in… https://t.co/z9uhoa1Aca
1518378433868304385,Jaymqu,Sun Apr 24 23:56:43 +0000 2022,-122.2286855,37.791994,Damn he tried to rip his eye out 😂😂😂😂😂😂😂
1518378435638345728,SeanRabbitt,Sun Apr 24 23:56:43 +0000 2022,-117.793,33.6841,"Just posted a photo @ Irvine, California https://t.co/WXLdDScNnD"
1518378437668397057,racheln1787,Sun Apr 24 23:56:44 +0000 2022,-118.13411165,34.06935914,"Lunching here. Haven’t been here in a while. (@ Atlantic Seafood &amp; Dim Sum Restaurant in Monterey Park, CA) https://t.co/GQKoZQtoy8"
1518378437563457536,s_vanherck,Sun Apr 24 23:56:44 +0000 2022,-122.396056,37.794151,First real life poster presentation since 2019 and excited about it! Come check out my poster C68 at #CNS2022 https://t.co/o2npXgR8KH
1518378443544559616,SooSUSPENDED,Sun Apr 24 23:56:45 +0000 2022,-122.40012949999999,37.598474499999995,"Rooting for you, baby."
1518378444165419010,518Sunflower,Sun Apr 24 23:56:45 +0000 2022,-119.30660750000001,37.2691755,@AgnerWill7 We wear what we want 😘👍🏻💯
1518378444869931009,byJoshuaDavis,Sun Apr 24 23:56:46 +0000 2022,-122.2286855,37.791994,"Maybe I’m naïve, but I don’t think that even three months ago the majority of NATO governments wanted to be involve… https://t.co/3jnhzAAtKr"
1518378473789661184,ThatbOyPrettty,Sun Apr 24 23:56:52 +0000 2022,-118.4119065,34.0207895,@SolStudent7 @Sashaamazing @DeadCets Wen DeadCet
1518378480181727234,alexxidabs,Sun Apr 24 23:56:54 +0000 2022,-122.4359785,37.7706565,Feeling like an asshole :/ https://t.co/MNytIwsaYV
1518378489187123201,S1Built,Sun Apr 24 23:56:56 +0000 2022,-122.45478272,38.16086433,Just posted a photo @ Sonoma Raceway Drag Racing https://t.co/f0mUX6Q4fP
1518378490940170241,kierstin_mcg,Sun Apr 24 23:56:57 +0000 2022,-118.44784,33.9752445,Accountability is really key with me
1518378498963820545,CarRide18,Sun Apr 24 23:56:58 +0000 2022,-119.636189,36.830799,"@DR0girl 🤤 couldn’t tell if it was meatball or truffles, either way it’s rad."
1518378499614167040,ChrisJacobs,Sun Apr 24 23:56:59 +0000 2022,-118.48246238,34.18204981,A small sampling of the @officialmopar eye candy at Spring Fling today… Great to see everyone back out at Woodley P… https://t.co/nRj43cbgDm
1518378504110309377,cathiebun,Sun Apr 24 23:57:00 +0000 2022,-117.0226945,38.502147,"Hellow, Steve! Ise got to #furrytails too late today!  #Chilltent"
1518378533352923136,sewage666,Sun Apr 24 23:57:07 +0000 2022,-122.03118649999999,36.979375000000005,pretty funny idea and i bet the guy in the band would totally sign the dick then grab the skater dude and start mak… https://t.co/Dtea4uA8jO
1518378539619258368,NewKids4Vegas,Sun Apr 24 23:57:08 +0000 2022,-118.1567105,33.809171500000005,"Until next time,CA!! 🥰 https://t.co/Zsw3V3E2V6"
1518378567335170048,_windsorgrace,Sun Apr 24 23:57:15 +0000 2022,-119.7824645,36.786041999999995,@KevinMKruse @NotHoodlum You Cannot believe Republicans anymore. Liars
1518378580048179200,emayorga2006,Sun Apr 24 23:57:18 +0000 2022,-119.02516299999999,35.3469015,@elonmusk Thank you for doing your best to save our democracy.
1518378586029248512,lucentai,Sun Apr 24 23:57:19 +0000 2022,-122.036093,37.922968,Love these beautiful blooms at @RBancroftGarden! https://t.co/bufHDX4PeY
1518378588197691392,WatchTheBreaks,Sun Apr 24 23:57:20 +0000 2022,-118.39963900000001,34.082496500000005,"@SoxCollector35 Mine were great and it’s been crazy how much the singles have been selling for me on COMC (at $150 a box, not at $450 a box)"
1518378600898056192,JsAboutBusiness,Sun Apr 24 23:57:23 +0000 2022,-118.1567105,33.809171500000005,Man it’s a gorgeous day in la today!!! Long Beach to be exact What y’all on today
1518378610234601472,ArmandDoma,Sun Apr 24 23:57:25 +0000 2022,-122.4359785,37.7706565,The nadir of Trump’s popularity was when he tried to end Obamacare and cut taxes for megacorporations. There’s a re… https://t.co/UPAcH3gout
1518378619852054528,ThatbOyPrettty,Sun Apr 24 23:57:27 +0000 2022,-118.4119065,34.0207895,@TheCryptoNub @Sashaamazing @DeadCets Same I’m 9 in and gonna load up more
1518378620640661510,TracyJSJ18,Sun Apr 24 23:57:27 +0000 2022,-120.987468,37.663817,@Ademir0527 That’s cool!!  However you also look like a Disney official too!
1518378622171553794,CollinTaylorInc,Sun Apr 24 23:57:28 +0000 2022,-117.585658,33.859093,"@NatalieJHarp @DavidPerdueGA Show the actual proof. Not one credible about of proton exists, because you’re living… https://t.co/ftORi2RneW"
1518378640370638848,ClaireMax,Sun Apr 24 23:57:32 +0000 2022,-118.13196400000001,34.17731,The good lighting does make a difference though lol https://t.co/TSk4WUGrOy
1518378653050056705,ChrisDJC4,Sun Apr 24 23:57:35 +0000 2022,-118.39680869,33.93366378,"Just posted a photo @ 36,000 Feet https://t.co/6O235x9QxE"
1518378657336545280,itstrevorstone,Sun Apr 24 23:57:36 +0000 2022,-118.4119065,34.0207895,@colin_gladman the people that don’t at this point may never learn lol https://t.co/6zN3ibxAXE
1518378657768624128,veraalvarezz12,Sun Apr 24 23:57:36 +0000 2022,-119.636189,36.830799,Clovis Rodeo 2022 https://t.co/VSsEL16qgp
1518378659953856512,itsrosybgarcia,Sun Apr 24 23:57:37 +0000 2022,-118.0723175,33.830642,Someone’s gotta tell their dad to calm the fuck down.. the light just tuned green and homie already honking I put m… https://t.co/mk7EppPJoM
1518378663636463617,LuckeyBono,Sun Apr 24 23:57:38 +0000 2022,-118.4119065,34.0207895,"If it costs a lot of money to get your name out there &amp; recognized, as well as develop you as an artist &amp; then prom… https://t.co/cOysCBJRfm"
1518378666874441728,tmj_LAX_schn,Sun Apr 24 23:57:38 +0000 2022,-118.2436849,34.0522342,"See our latest #LosAngeles, CA #SupplyChain job opportunity and click the link in our bio to apply: Material Manage… https://t.co/QRGflYIWDd"
1518378667688153089,ousdcareers,Sun Apr 24 23:57:39 +0000 2022,-122.161464,37.798392,Do you have a passion for the subjects you teach? Are you excited to explore that knowledge with your students? If… https://t.co/udIYub7c4p
1518378668002660352,JanyNicole,Sun Apr 24 23:57:39 +0000 2022,-118.4119065,34.0207895,@strgzr3000 Oooo we almost have the same big three!
1518378686474424320,Wheeljack83,Sun Apr 24 23:57:43 +0000 2022,-118.4119065,34.0207895,@Solar_Transform Sorry that happened to you Solartron
1518378691339841536,SweetTayPie0104,Sun Apr 24 23:57:44 +0000 2022,-118.4119065,34.0207895,I really love watching Black people dance. Especially old ones.
1518378692845531136,_windsorgrace,Sun Apr 24 23:57:45 +0000 2022,-119.7824645,36.786041999999995,@ProjectLincoln Exactly send him back to Bakersfield
1518378695743877120,JackGalanty,Sun Apr 24 23:57:45 +0000 2022,-118.40899,34.0060125,Progress photos of our new Enchanted Tiki Deck! https://t.co/rgvycrgFoQ
1518378699854204928,WatchTheBreaks,Sun Apr 24 23:57:46 +0000 2022,-118.39963900000001,34.082496500000005,@johnsonadam1 Hahahah now you’re just feeding my ego!
1518378703415177216,JsAboutBusiness,Sun Apr 24 23:57:47 +0000 2022,-118.1567105,33.809171500000005,@notsientopapi Really??? How did they help? Please share the game
1518378705181097984,SheilasCreation,Sun Apr 24 23:57:48 +0000 2022,-121.30348206,37.9055381,"I'm at Weston Ranch in Stockton, CA https://t.co/cE6Vbikn7u"
1518378706007302144,kierstin_mcg,Sun Apr 24 23:57:48 +0000 2022,-118.44784,33.9752445,Shift bid tonight thank God
1518378707227865088,chikosquared,Sun Apr 24 23:57:48 +0000 2022,-117.98236600000001,34.0023805,Fuccccckkkkkkk🤤😈🤘🏽🔥🍆
1518378708683268096,ssaashhhhamack,Sun Apr 24 23:57:48 +0000 2022,-119.7824645,36.786041999999995,"Eyes open, heart clean, I’m focused."
1518378710025441280,joshuarudyochoa,Sun Apr 24 23:57:49 +0000 2022,-122.3673775,37.5861125,This is the spicy transit twitter that we love to see! 🤩🚊✨
1518378722809712642,amandarose221,Sun Apr 24 23:57:52 +0000 2022,-118.4119065,34.0207895,LED Neon light installation 20 ft x 15 ft #art #Installation #fineart https://t.co/kYJOPxjCYW
1518378730321633280,ggabakumazzi,Sun Apr 24 23:57:54 +0000 2022,-118.4119065,34.0207895,I thank you God for another year added to my life journey today and I pray that I have more fruitful and blessed ye… https://t.co/gC9M8ZQyt3
1518378741054861312,tentwentysixpm,Sun Apr 24 23:57:56 +0000 2022,-118.36964499999999,34.0870095,@colettejnorman AT ALL!!!!
1518378746201317376,danceswithkids,Sun Apr 24 23:57:57 +0000 2022,-122.2286855,37.791994,"Now I know. So sad. I wish I believed more would come of this but what did you eat today, where did you go and how… https://t.co/2vJFXFVgij"
1518378747937783808,tmj_sjc_writing,Sun Apr 24 23:57:58 +0000 2022,-121.9552356,37.3541079,Looking to score a job at Adecco? You're in luck. Click the link in our bio for the job description and information… https://t.co/o60Dr4Z9Zu
1518378750185934848,tmj_CAP_LABOR,Sun Apr 24 23:57:58 +0000 2022,-122.1550657,37.7061353,"If you're looking for work in #SanLeandro, CA, check out this #Labor job via the link in our bio: Full-time Dockworker with CDL at UPS"
1518378757672759296,KeoneChong,Sun Apr 24 23:58:00 +0000 2022,-118.4119065,34.0207895,@ddwchen Keone.eth
1518378767357415424,LawMurrayTheNU,Sun Apr 24 23:58:02 +0000 2022,-118.4119065,34.0207895,It's that time ⏲️
1518378779571146752,tentwentysixpm,Sun Apr 24 23:58:05 +0000 2022,-118.36964499999999,34.0870095,@adamson_jimmy VILE!
1518378795853516800,blove416,Sun Apr 24 23:58:09 +0000 2022,-121.436217,37.723349999999996,@Ace77ofnocal If it has bacon. Then ok lol
1518378799749996546,As_Fan_Radio,Sun Apr 24 23:58:10 +0000 2022,-122.2286855,37.791994,"On the next edition of @As_Fan_Radio:Cpl Oaktown will review #SonicMovie2. Since its been out for a while, this r… https://t.co/AWbVyAH3Pt"
1518378806985183232,DTNCA,Sun Apr 24 23:58:12 +0000 2022,-121.9516095,36.974948499999996,"@49ersSpin And I hate to break the news to anybody out there, but on a platform where people can be anonymous, nobo… https://t.co/PWKzNUtRyk"
1518378818678886400,nateb39007,Sun Apr 24 23:58:15 +0000 2022,-118.325145,34.182159999999996,"It looks cooler at night, but I miss this hallway 😆 https://t.co/pBKsFxRPBj"
1518378833941962752,annietomlan,Sun Apr 24 23:58:18 +0000 2022,-117.824049,33.810159,@AnaheimDucks GOOD LUCK ✨🤍🥺
1518378834420113409,RobertH07173859,Sun Apr 24 23:58:18 +0000 2022,-119.636189,36.830799,@patriotnot45 @FoxNews None of that is true.
1518378840988413952,DASBUNKER,Sun Apr 24 23:58:20 +0000 2022,-118.1565195,34.1121555,@retroscifiart @celafisticuffs this might work too
1518378842200584192,LazyDogHQ,Sun Apr 24 23:58:20 +0000 2022,-121.8873456,37.704333,"We're hiring! Click to apply: Food Runner - https://t.co/2ORF9w7kul #FoodRunner #Dublin, CA"
1518378848877875201,RyNilsen,Sun Apr 24 23:58:22 +0000 2022,-118.4119065,34.0207895,"@MikeKalinowski @georgendebele22 Probably Logan, Endgame, or Guardians of the Galaxy for me"
1518378853667725312,echoisthename,Sun Apr 24 23:58:23 +0000 2022,-118.4119065,34.0207895,word
1518378861318221824,perfectpat6,Sun Apr 24 23:58:25 +0000 2022,-118.4119065,34.0207895,@talesofvaughn Literally not one reason. Just fine.
1518378869165682688,thechaneltapper,Sun Apr 24 23:58:27 +0000 2022,-118.4119065,34.0207895,"@BeSmoove7 Once I gather enough confidence to compete, yeah.Or I can just take a tire iron to one’s knee prior to a match 🤭🤭"
